session_id,dialogue_response
303_turn_000,i'm great thanks
303_turn_001,really
303_turn_002,what's your dream job
303_turn_003,that makes sense
303_turn_004,let's come back to that later
303_turn_005,has that gotten you in trouble
303_turn_006,that's good
303_turn_007,that sounds like a great situation
303_turn_008,yeah i see what you mean
303_turn_009,whatever comes to your mind
303_turn_010,that's so good to hear
303_turn_011,yeah there are always tradeoffs in life aren't there
303_turn_012,how close are you to them
303_turn_013,tell me more about that
303_turn_014,i'm sorry
303_turn_015,<laughter>
303_turn_016,hm okay
303_turn_017,have you been diagnosed with depression
303_turn_018,goodbye
304_turn_000,that's good
304_turn_001,nice are you still doing that
304_turn_002,how hard is that
304_turn_003,really
304_turn_004,that's so good to hear
304_turn_005,<laughter>
304_turn_006,could you have done anything to avoid it
304_turn_007,let's come back to that later
304_turn_008,what are some things that make you really mad
304_turn_009,whatever comes to your mind
304_turn_010,do you feel that way often
304_turn_011,really
304_turn_012,<laughter>
304_turn_013,oh my gosh
304_turn_014,yeah that sucks
304_turn_015,that's so good to hear
304_turn_016,that's a long time
304_turn_017,<laughter> do you travel a lot
304_turn_018,what do you enjoy about traveling
304_turn_019,really
304_turn_020,what are you like when you don't sleep well
304_turn_021,do you feel that way often
304_turn_022,aw okay
304_turn_023,that's good
304_turn_024,have you ever been diagnosed with p_t_s_d
304_turn_025,have you ever served in the military
304_turn_026,how do you know them
304_turn_027,that's good
304_turn_028,<laughter>
304_turn_029,let's come back to that later
304_turn_030,i'd love to hear all about it
304_turn_031,that sounds really hard
304_turn_032,how do you know them
305_turn_000,that's good
305_turn_001,really
305_turn_002,it can be tough to find a good job these days
305_turn_003,how do you know them
305_turn_004,that's good
305_turn_005,really
305_turn_006,how did you decide to do that
305_turn_007,uh huh
305_turn_008,i'm sorry to hear that
305_turn_009,what are some things you like to do for fun
305_turn_010,that's great
305_turn_011,whatever comes to your mind
305_turn_012,oh my gosh
305_turn_013,awesome
305_turn_014,okay could you have done anything to avoid it
305_turn_015,i see what you mean
305_turn_016,what are you like when you don't sleep well
